"DoS attacks in mobile ad hoc networks: A survey","","Advanced Computing & Communication Technologies (ACCT), 2012 Second International Conference on","","2012-01-07",""
"Improving AODV protocol against blackhole attacks","Proceedings of the international multi conference of engineers and computer scientists","","","2010-03-17","2"
"Resolving ambiguities in natural language software requirements: a comprehensive survey","","","","2015-09-14","40"
"Configurable Link Layer Security Architecture for Wireless Sensor Networks","Proceedings of the World Congress on Engineering","","","2008-01-01","1"
"A comparative analysis of tools for verification of security protocols","Int'l J. of Communications, Network and System Sciences","","","2010-10-27","3"
"Hidden access structure ciphertext policy attribute based encryption with constant length ciphertext","","International Conference on Advanced Computing, Networking and Security","","2011-12-16",""
"Improving route discovery for AODV to prevent blackhole and grayhole attacks in MANETs","INFOCOMP Journal of Computer Science","","","2012-03-01","11"
"A clustering approach for the-diversity model in privacy preserving data mining using fractional calculus-bacterial foraging optimization algorithm","Advances in Computer Engineering","","","2014-09-16","2014"
"Prevention of wormhole attack in wireless sensor network","arXiv preprint arXiv:1110.1928","","","2011-10-10",""
"MOSAODV: solution to secure AODV against blackhole attack","IJCNS) International Journal of Computer and Network Security","","","2009-12-01","1"
"Fully secure ciphertext policy attribute‐based encryption with constant length ciphertext and faster decryption","Security and Communication Networks","","","2014-11-01","7"
"Detection of wormhole attacks in wireless sensor network","","","","2011-01-01",""
"Novel Approaches for Privacy Preserving Data Mining in k-Anonymity Model.","J. Inf. Sci. Eng.","","","2016-01-01","32"
"Evaluating homomorphic encryption algorithms for privacy in wireless sensor networks","International Journal of Advancements in Computing Technology","","","2011-01-01","3"
"Optimizing the block cipher and modes of operations overhead at the link layer security framework in the wireless sensor networks","","International Conference on Information Systems Security","","2008-12-16",""
"Experimenting with the novel approaches in text steganography","arXiv preprint arXiv:1203.3644","","","2012-03-16",""
"An efficient approach for privacy preserving distributed k-means clustering based on shamir’s secret sharing scheme","","IFIP International Conference on Trust Management","","2012-05-21",""
"Concealed data aggregation in wireless sensor networks: A comprehensive survey","","","","2016-07-05","103"
"Malleability resilient concealed data aggregation in wireless sensor networks","Wireless Personal Communications","","","2016-04-01","87"
"Analysis of significant components for designing an effective dynamic load balancing algorithm in distributed systems","","2012 Third International Conference on Intelligent Systems Modelling and Simulation","","2012-02-08",""
"Constant ciphertext length in multi-authority ciphertext policy attribute based encryption","","2011 2nd International Conference on Computer and Communication Technology (ICCCT-2011)","","2011-09-15",""
"A novel approach for searchable CP-ABE with hidden ciphertext-policy","","International Conference on Information Systems Security","","2014-12-16",""
"An excursion to software development life cycle models: an old to ever-growing models","ACM SIGSOFT Software Engineering Notes","","","2016-02-22","41"
"A survey on elliptic curve digital signature algorithm and its variants","Computer Science & Information Technology (CS & IT)–CSCP","","","2014-01-01",""
"Privacy preserving distributed k-means clustering in malicious model using zero knowledge proof","","International Conference on Distributed Computing and Internet Technology","","2013-02-05",""
"A survey of simulators for P2P overlay networks with a case study of the P2P tree overlay using an event-driven simulator","","","","2017-04-01","20"
"A novel privacy‐preserving scheme for collaborative frequent itemset mining across vertically partitioned data","Security and Communication Networks","","","2015-12-01","8"
"Symmetric-key based homomorphic primitives for end-to-end secure data aggregation in wireless sensor networks","Journal of Information Security","","","2014-12-17","6"
"A novel solution for grayhole attack in aodv based manets","","International conference on advances in communication, network, and computing","","2012-02-24",""
"Comparative evaluation of elliptic curve cryptography based homomorphic encryption schemes for a novel secure multiparty computation","Journal of Information Security","","","2014-01-10","2014"
